spelling,intention,clicked,suggestions,spellchecker,sid
madeb,made,,"['ma deb', 'ma-deb', 'made', 'Madden', 'madden']",Aspell,588
frist,first,first,"['first', 'forest', 'frost', 'foresight', 'fairest']",SPLCHK,591
compiny,company,company,"['company', 'comply', 'camping', 'accompany', 'compound']",SPLCHK,591
frift,first,,"['forfeit', 'firefight', 'forefoot', 'rift', 'drift']",SPLCHK,591
kug,kung,kung,"['cage', 'cog', 'keg', 'kung', 'jug']",SPLCHK,592
gam,game,game,"['game', 'gamma', 'gym', 'gum', 'gem']",SPLCHK,592
throgh,through,through,"['through', 'thorough', 'throe', 'throw', 'thigh']",Aspell,594
rodos,robots,Rod's,"['roods', 'rodeos', 'rods', ""Rod's"", ""rod's""]",Aspell,598
Rodo,robots,Rood,"['Rood', 'Rodeo', 'Rod', 'Rondo', 'Redo']",Aspell,598
enistein,einstein,einstein,"['einstein', 'elastin', 'enlighten', 'einsteinium', 'unseen']",SPLCHK,599
wut,what,wit,"['wit', 'Wu', 'wt', 'UT', 'wet']",Aspell,600
stude,study,stud,"['stud', 'study', 'STD', 'std', 'steed']",Aspell,600
robos,robots,robs,"['robs', ""Rob's"", 'robes', 'ribs', 'robots']",Aspell,600
jus,juice,juice,"['jazz', 'juice', 'jaws', 'jays', 'jose']",SPLCHK,605
